Date,High,Low,Open,Close,Volume,Adj Close
27-01-2005,4.703869,4.61271,4.701378,4.684442,266089645,4.684442
28-01-2005,4.849324,4.641104,4.73276,4.740731,490158373,4.740731
31-01-2005,4.890669,4.775102,4.824168,4.872238,385306832,4.872238
01-02-2005,4.898141,4.747954,4.841353,4.779585,756384528,4.779585
02-02-2005,5.39976,5.072487,5.368627,5.129772,1316889593,5.129772
03-02-2005,5.314331,5.126036,5.13052,5.251815,521471303,5.251815
04-02-2005,5.174355,5.046086,5.142475,5.089922,594993855,5.089922
07-02-2005,5.140731,4.869498,5.112338,4.882449,520359150,4.882449
08-02-2005,4.981827,4.845089,4.905613,4.947456,460921194,4.947456
09-02-2005,5.021179,4.718813,5.000258,4.771615,689434520,4.771615
10-02-2005,4.787306,4.613956,4.781328,4.681951,762154073,4.681951
11-02-2005,4.790046,4.634379,4.649074,4.667505,526606480,4.667505
14-02-2005,4.808975,4.508103,4.55418,4.806733,1548269624,4.806733
15-02-2005,4.977344,4.808975,4.821926,4.862524,1035177611,4.862524
16-02-2005,4.964641,4.839361,4.849324,4.941727,663770685,4.941727
17-02-2005,4.975102,4.901877,4.927281,4.929025,418137429,4.929025
18-02-2005,4.952437,4.898141,4.944218,4.93027,340708289,4.93027
22-02-2005,4.953931,4.741976,4.894156,4.766384,541369609,4.766384
23-02-2005,4.843844,4.698887,4.814454,4.830644,625776806,4.830644
24-02-2005,4.728526,4.538738,4.567131,4.704616,1036442333,4.704616
25-02-2005,4.73027,4.620431,4.711092,4.629398,400435325,4.629398
28-02-2005,4.729024,4.6289,4.632636,4.6822,313908211,4.6822
01-03-2005,4.726036,4.533009,4.714579,4.63413,373844027,4.63413
02-03-2005,4.67423,4.591789,4.63139,4.612212,292512314,4.612212
03-03-2005,4.676222,4.590544,4.635874,4.657791,305484756,4.657791
04-03-2005,4.663769,4.609473,4.65007,4.630145,271979640,4.630145
07-03-2005,4.7223,4.65829,4.67697,4.702623,347995502,4.702623
08-03-2005,4.728526,4.606982,4.709846,4.61271,323050350,4.61271
09-03-2005,4.599012,4.487181,4.588053,4.51682,456119263,4.51682
10-03-2005,4.513084,4.418439,4.508352,4.482698,440063306,4.482698
11-03-2005,4.506857,4.412212,4.494155,4.428401,322335682,4.428401
14-03-2005,4.443345,4.29814,4.441602,4.358414,447535208,4.358414
15-03-2005,4.483196,4.338986,4.366135,4.448576,418446584,4.448576
16-03-2005,4.448576,4.358912,4.401004,4.373607,285317446,4.373607
17-03-2005,4.474229,4.378588,4.411714,4.465512,331662510,4.465512
18-03-2005,4.493159,4.441104,4.453557,4.484192,284663002,4.484192
21-03-2005,4.537243,4.414703,4.465014,4.505114,300470030,4.505114
22-03-2005,4.531515,4.429647,4.512586,4.448327,226112360,4.448327
23-03-2005,4.489173,4.432635,4.432635,4.457791,194526410,4.457791
24-03-2005,4.504616,4.463271,4.500631,4.464516,148763520,4.464516
28-03-2005,4.602748,4.506857,4.525039,4.518563,350830087,4.518563
29-03-2005,4.56489,4.435126,4.509348,4.472486,259890496,4.472486
30-03-2005,4.519311,4.473233,4.499136,4.494404,250378977,4.494404
31-03-2005,4.517816,4.424416,4.432137,4.495898,271758815,4.495898
01-04-2005,4.55667,4.482947,4.527032,4.484192,248206866,4.484192
04-04-2005,4.615699,4.479211,4.481951,4.614952,324266893,4.614952
05-04-2005,4.738738,4.671739,4.675724,4.696646,350777892,4.696646
06-04-2005,4.723545,4.671988,4.713333,4.712835,210891521,4.712835
07-04-2005,4.847331,4.698389,4.701876,4.825911,389141150,4.825911
08-04-2005,4.859286,4.768377,4.824168,4.783321,205431131,4.783321
11-04-2005,4.851814,4.790046,4.809224,4.812711,217231195,4.812711
12-04-2005,4.84235,4.717567,4.806982,4.830893,293881426,4.830893
13-04-2005,4.839859,4.725538,4.818688,4.805239,263214910,4.805239
14-04-2005,4.840855,4.734753,4.813707,4.768377,247030473,4.768377
15-04-2005,4.740731,4.599261,4.734753,4.607729,464831797,4.607729
18-04-2005,4.67946,4.57012,4.597268,4.656795,262994085,4.656795
19-04-2005,4.782076,4.683196,4.715575,4.767132,338463908,4.767132
20-04-2005,4.993782,4.879461,4.945961,4.934006,620376641,4.934006
21-04-2005,5.105862,4.964392,4.99179,5.086435,712737539,5.086435
22-04-2005,5.579088,5.336497,5.551691,5.375103,1333182435,5.375103
25-04-2005,5.597519,5.417693,5.425165,5.567382,796574608,5.567382
26-04-2005,5.529275,5.436871,5.484941,5.448328,693469588,5.448328
27-04-2005,5.500632,5.398266,5.429399,5.473982,412131000,5.473982
28-04-2005,5.531267,5.422425,5.467008,5.465763,348613811,5.465763
29-04-2005,5.535502,5.425165,5.527033,5.479462,368182886,5.479462
02-05-2005,5.571616,5.484692,5.53052,5.536498,392160425,5.536498
03-05-2005,5.682451,5.512338,5.525539,5.633634,713873782,5.633634
04-05-2005,5.725539,5.653808,5.659537,5.691168,485151677,5.691168
05-05-2005,5.694157,5.625913,5.694157,5.65331,301509913,5.65331
06-05-2005,5.709848,5.640608,5.688677,5.679213,271570110,5.679213
09-05-2005,5.691168,5.614705,5.678715,5.6294,222302131,5.6294
10-05-2005,5.673733,5.597021,5.615701,5.673733,254783425,5.673733
11-05-2005,5.777843,5.676971,5.702874,5.760658,460873014,5.760658
12-05-2005,5.78407,5.683696,5.748702,5.696648,359269602,5.696648
13-05-2005,5.755676,5.661778,5.708105,5.709599,297731805,5.709599
16-05-2005,5.768877,5.692912,5.720558,5.75468,228107811,5.75468
17-05-2005,5.814456,5.733509,5.742476,5.806486,313526787,5.806486
18-05-2005,5.976847,5.816199,5.818441,5.956673,494325936,5.956673
19-05-2005,6.006735,5.934506,5.986063,5.957171,390116793,5.957171
20-05-2005,6.019189,5.968877,6.007732,6.017694,327763952,6.017694
23-05-2005,6.428405,6.045092,6.0563,6.362402,858738744,6.362402
24-05-2005,6.61122,6.313834,6.400011,6.376101,1166078427,6.376101
25-05-2005,6.500136,6.242352,6.294656,6.495902,725023418,6.495902
26-05-2005,6.569376,6.433386,6.499638,6.455802,543895039,6.455802
27-05-2005,6.626413,6.457047,6.487184,6.625167,489190760,6.625167
31-05-2005,6.93401,6.709103,6.710597,6.905865,892805959,6.905865
01-06-2005,7.294907,7.024172,7.053562,7.173113,1412944285,7.173113
02-06-2005,7.217447,7.088431,7.191295,7.170623,721658854,7.170623
03-06-2005,7.205492,6.909352,7.142976,6.980336,754108027,6.980336
06-06-2005,7.316327,7.019439,7.033387,7.246339,904413304,7.246339
07-06-2005,7.461781,7.230399,7.399764,7.300635,976566743,7.300635
08-06-2005,7.302379,6.924047,7.293911,6.962901,1031889331,6.962901
09-06-2005,7.185567,6.987808,7.09142,7.131021,660109011,7.131021
10-06-2005,7.155181,6.974358,7.147958,7.036127,509767599,7.036127
13-06-2005,7.078219,6.887185,6.969377,7.042354,514047581,7.042354
14-06-2005,7.004744,6.91782,6.938742,6.932764,405189077,6.932764
15-06-2005,6.906612,6.660784,6.849327,6.844346,838454999,6.844346
16-06-2005,6.931519,6.801257,6.830896,6.910099,500364485,6.910099
17-06-2005,6.981332,6.871743,6.948954,6.981332,418940428,6.981332
20-06-2005,7.164894,6.767882,6.876475,7.140735,844140229,7.140735
21-06-2005,7.230399,7.097646,7.174857,7.169128,607560783,7.169128
22-06-2005,7.28071,7.189801,7.214708,7.205492,420530365,7.205492
23-06-2005,7.342728,7.135753,7.173113,7.215704,564363474,7.215704
24-06-2005,7.42218,7.212466,7.245343,7.4035,713512433,7.4035
27-06-2005,7.583326,7.319066,7.444596,7.57411,714785186,7.57411
28-06-2005,7.70238,7.521806,7.628407,7.521806,764314139,7.521806
29-06-2005,7.581084,7.276476,7.53426,7.290673,734691521,7.290673
30-06-2005,7.445343,7.24883,7.331022,7.326289,606039101,7.326289
01-07-2005,7.378344,7.2035,7.348456,7.25406,370487492,7.25406
05-07-2005,7.371868,7.228655,7.275231,7.365144,300883574,7.365144
06-07-2005,7.412217,7.257298,7.404745,7.260785,321211484,7.260785
07-07-2005,7.367385,7.185816,7.207734,7.36091,428484066,7.36091
08-07-2005,7.409727,7.323799,7.378593,7.378095,299422117,7.378095
11-07-2005,7.387311,7.248331,7.382329,7.306364,336869956,7.306364
12-07-2005,7.332516,7.24609,7.30736,7.267261,235475323,7.267261
13-07-2005,7.453064,7.275231,7.285442,7.4436,459230882,7.4436
14-07-2005,7.640113,7.473737,7.604995,7.49416,428307406,7.49416
15-07-2005,7.556676,7.466514,7.502877,7.501632,338801168,7.501632
18-07-2005,7.519316,7.415953,7.471993,7.460536,249242734,7.460536
19-07-2005,7.729777,7.516825,7.524297,7.718569,506748324,7.718569
20-07-2005,7.786066,7.516825,7.610723,7.770873,574561556,7.770873
21-07-2005,7.915331,7.751197,7.821931,7.819192,794543021,7.819192
22-07-2005,7.70238,7.380586,7.630648,7.531769,938978379,7.531769
25-07-2005,7.553936,7.346464,7.53152,7.368631,387800142,7.368631
26-07-2005,7.42218,7.274982,7.347709,7.374608,394147846,7.374608
27-07-2005,7.427908,7.282703,7.415704,7.39553,289798178,7.39553
28-07-2005,7.407485,7.30462,7.407485,7.3101,237912424,7.3101
29-07-2005,7.293662,7.147958,7.276227,7.167136,335785908,7.167136
01-08-2005,7.285193,7.175604,7.176102,7.263026,227344963,7.263026
02-08-2005,7.460038,7.250822,7.262777,7.451819,292701018,7.451819
03-08-2005,7.465019,7.362404,7.42218,7.404745,238113174,7.404745
04-08-2005,7.447086,7.353687,7.361159,7.415455,210245108,7.415455
05-08-2005,7.434882,7.255554,7.409727,7.281457,238478538,7.281457
08-08-2005,7.363649,7.235131,7.312591,7.25406,179943955,7.25406
09-08-2005,7.289677,7.185816,7.271744,7.26203,232038489,7.26203
10-08-2005,7.280959,7.095405,7.255305,7.11533,276191367,7.11533
11-08-2005,7.137746,6.989302,7.12056,7.074732,301722708,7.074732
12-08-2005,7.227908,7.014707,7.057547,7.215953,264423423,7.215953
15-08-2005,7.291918,7.067758,7.217945,7.073487,328213631,7.073487
16-08-2005,7.167883,7.057048,7.095405,7.114583,285433881,7.114583
17-08-2005,7.137497,7.073487,7.111096,7.100884,155914222,7.100884
18-08-2005,6.986314,6.849327,6.871992,6.973611,476692087,6.973611
19-08-2005,7.009975,6.964396,6.998518,6.97386,222547046,6.97386
22-08-2005,7.010473,6.808231,7.004744,6.824669,273541472,6.824669
23-08-2005,6.967385,6.827409,6.878219,6.963399,233740846,6.963399
24-08-2005,7.092167,6.885442,6.913337,7.03787,345012362,7.03787
25-08-2005,7.073487,6.973113,7.037372,7.038368,175720183,7.038368
26-08-2005,7.098892,7.040112,7.060535,7.063026,150775031,7.063026
29-08-2005,7.201009,7.029651,7.029651,7.184321,237005036,7.184321
30-08-2005,7.210722,7.120311,7.15792,7.154932,192398464,7.154932
31-08-2005,7.185567,7.082453,7.178842,7.1233,202114747,7.1233
01-09-2005,7.16066,7.098393,7.121059,7.129527,110095123,7.129527
02-09-2005,7.222678,7.134259,7.136003,7.184321,137894934,7.184321
06-09-2005,7.207734,7.143225,7.19802,7.150946,169123549,7.150946
07-09-2005,7.359913,7.105367,7.12056,7.344222,301104399,7.344222
08-09-2005,7.45406,7.306613,7.343226,7.357174,265523531,7.357174
09-09-2005,7.449577,7.386314,7.404247,7.449328,176278267,7.449328
12-09-2005,7.756427,7.4969,7.51558,7.714584,417017246,7.714584
13-09-2005,7.858793,7.625667,7.696153,7.762903,413540262,7.762903
14-09-2005,7.802753,7.479465,7.689428,7.546713,452722579,7.546713
15-09-2005,7.640113,7.419938,7.460038,7.537249,620966845,7.537249
16-09-2005,7.584073,7.468755,7.572118,7.476974,304328438,7.476974
19-09-2005,7.621433,7.489677,7.4969,7.566389,231339881,7.566389
20-09-2005,7.753438,7.602255,7.625169,7.669005,375441994,7.669005
21-09-2005,7.814709,7.620437,7.681458,7.768382,406305245,7.768382
22-09-2005,7.950699,7.725294,7.75842,7.755182,522206047,7.755182
23-09-2005,7.900636,7.785568,7.79578,7.854559,340623975,7.854559
26-09-2005,7.993787,7.784821,7.957673,7.82766,397259466,7.82766
27-09-2005,7.930524,7.805244,7.844347,7.819192,275954483,7.819192
28-09-2005,7.848083,7.61147,7.826166,7.621433,321095049,7.621433
29-09-2005,7.738992,7.623426,7.63837,7.711595,225393676,7.711595
30-09-2005,7.907859,7.778096,7.826166,7.881956,367424053,7.881956
03-10-2005,7.972866,7.790549,7.811471,7.937249,367785402,7.937249
04-10-2005,8.002007,7.73949,7.968881,7.745966,367143003,7.745966
05-10-2005,7.843102,7.671246,7.788058,7.738743,334384676,7.738743
06-10-2005,7.832641,7.723301,7.824173,7.789553,320950509,7.789553
07-10-2005,7.887187,7.734509,7.840362,7.79553,271827070,7.79553
10-10-2005,7.84111,7.699889,7.803501,7.737249,223723439,7.737249
11-10-2005,7.787062,7.593039,7.736253,7.623924,342984790,7.623924
12-10-2005,7.651072,7.447086,7.601508,7.496153,373643277,7.496153
13-10-2005,7.521806,7.239863,7.521806,7.408232,424292413,7.408232
14-10-2005,7.477722,7.28619,7.469502,7.375853,342041267,7.375853
17-10-2005,7.601508,7.336501,7.409727,7.596526,303802474,7.596526
18-10-2005,7.67025,7.540237,7.59553,7.553687,284173173,7.553687
19-10-2005,7.717822,7.570623,7.57162,7.688681,281479113,7.688681
20-10-2005,7.749204,7.50213,7.720811,7.551694,558553779,7.551694
21-10-2005,8.628409,8.293912,8.612717,8.465768,919128253,8.465768
24-10-2005,8.699891,8.522804,8.552194,8.683701,378682093,8.683701
25-10-2005,8.652568,8.539492,8.612219,8.640364,276163262,8.640364
26-10-2005,8.866765,8.622431,8.624673,8.852817,357635500,8.852817
27-10-2005,8.893913,8.759168,8.881709,8.79354,206145800,8.79354
28-10-2005,8.94024,8.842357,8.848583,8.920813,237025111,8.920813
31-10-2005,9.333765,8.954188,8.972369,9.268758,575866428,9.268758
01-11-2005,9.561661,9.190801,9.261785,9.449083,656696267,9.449083
02-11-2005,9.589058,9.394039,9.506866,9.456555,424200069,9.456555
03-11-2005,9.62841,9.498896,9.52455,9.612719,299052737,9.612719
04-11-2005,9.758174,9.600266,9.713093,9.724301,354319116,9.724301
07-11-2005,9.899644,9.76714,9.840615,9.838871,385098052,9.838871
